content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent
Pq não tá criando pasta no cllr . Baixei vários vídeos e não sei onde encontrar a pasta no cllr q sumiu .. pq isso . Oq aconteceu com o telegram?,1,0,8.3.2,2021-12-15 21:09:23,
Não consigo mais utilizar o aplicativo porquê não estão me enviando o código de verificação e não me dão opção de resolver o problema.,1,0,8.3.2,2021-12-15 21:02:50,
Não sei como assistir fiumes no aplicativo.,2,0,8.3.2,2021-12-15 21:01:41,
So queria saber pq o codigo nao chega mais so isso. Nem por E-Mail ta funcionando.,1,0,8.3.2,2021-12-15 20:53:48,
Baixem pelo site oficial do telegram.,1,0,8.1.2,2021-12-15 20:42:54,
"Tá me enchendo o saco para atualizar, mas não atualiza nunca, vou desinstalar.",1,0,8.0.0,2021-12-15 20:30:22,
Realmente tô desepisionada com o telegram que atualização foi essa??? Eu n consigo acessar mais nada e nem enviar mensagem eu preciso atualizar meu canal e ele só fica conectando melhorar viu por favor eu n vivo sem ele meus filho arruma logo por favor to sendo muito respeitosa caso n arrume logo eu surto Aki blz obrigada e arrumem logo esse trem q vcs fizeram caramba.,1,0,8.3.2,2021-12-15 20:04:15,
"Não consigo utilizar, não recebo código de confirmação, já tentei várias vezes e agora não consego mais, pois excedeu o número de tentativas",1,0,8.3.2,2021-12-15 17:44:51,
"Toda vez que eu ligo o bluetooth, ele começa a chegar notificação",1,0,8.2.1,2021-12-15 16:58:08,
"Está apagando o cache sozinho. Quando eu volto pro app após deixá-lo em segundo plano ele ""esquece"" o que tava baixando e o que já tinha sido baixado. Não tá salvando foto, arquivos, etc. a não ser quando o faço o download oficial pra memória do celular. Meu celular não tá com memória lotada, eu já mexi em todas as configurações, não sei o que tá acontecendo.",1,0,8.3.2,2021-12-15 16:55:49,
Baixei o aplicativo pela primeira vez e quando fui registrar meu número ele disse que o meu número está banido. Que palhaçada é essa?,1,0,8.3.2,2021-12-15 15:33:38,
Não consigo assistir nada mais 😔,1,0,8.3.2,2021-12-15 14:31:54,
Já desinstalei várias vezes porque está demorando horrores pra carregar os vídeos por favor resolvam isso.,2,0,,2021-12-15 13:55:39,
Não estou concequindo entra no app pessimo,1,0,8.3.2,2021-12-15 13:00:18,
Era ótimo esse aplicativo...acabou que triste!!!!!,1,0,8.0.0,2021-12-15 12:43:45,
Com essa nova atualização ficou extremamente burocrático alterar o número de telefone!,2,0,8.3.2,2021-12-15 11:58:29,
Péssimo,1,0,8.3.2,2021-12-15 11:09:15,
Não tem serventia,1,0,7.9.3,2021-12-15 10:27:26,
Está demorando carregar os vídeos,1,0,8.3.2,2021-12-15 10:14:54,
"Dou 1 estrela por que não tem como dar negativa meu Deus telegram eu estou tentando assistir um filme desde ontem e até agora não consegui o App era muito bom antes da atualização, tem de tudo. Mas agora não consigo assistir nada não tem oque eu quero na Netflix. Pensei que era a internet mas tem outras pessoas reclamando. Já chorei de tanta raiva porque não carrega. Vc tá em uma cena que vc quer ver no que vai dar aí PARA nao carrega muita raivaaaaa😡 queria tanto dar as 5 estrelas😒 mas não dá",1,1,8.3.1,2021-12-15 10:08:04,
"Tô odiando, eu em consigo entrar em canais ou grupos,e só consigo achar meus contatos💔💔💔",2,0,8.3.2,2021-12-15 09:59:31,
Péssimo serviço. Demora para enviar o código de ativação e ao enviar o problema pelo suporte pelo site do mesmo dizem que o meu email não existe sendo que existe e utilizo ele.,1,0,8.3.2,2021-12-15 07:26:38,
Tento todo dia pra vir o tal sms de ativação que nunca chega e trágico,1,0,8.3.2,2021-12-15 06:26:48,
"Desde a última atualização o app ficou muito lento para iniciar, atualizar o conteúdo dos chats. Na minha opinião ficou ruim de utilizar.",2,0,8.3.2,2021-12-15 06:04:55,
Nao esta chegando o codigo de verificação no meu SMS,1,0,8.0.0,2021-12-15 04:29:31,
Exclui pensando que não iria tirar o meu número fui tentar abaixar e não consego entrar estou descepisionado.,1,0,,2021-12-15 02:51:58,
Roubou meus contatos da agenda.,1,0,8.3.2,2021-12-15 01:29:38,
Estou com probelma com o app ele não envia o código na hora de entrar.,2,0,,2021-12-14 23:33:24,
"Eu costumo ver filme e séries pelo telegram , antes carregava vídeos rapido mas agora é uma hora pra funcionar um vídeo, sem conta que roda um minuto de vídeo e fica 10 carregando olha espero que melhorem 😔😔😔",1,0,,2021-12-14 23:04:08,
Download tá muito lento,1,0,,2021-12-14 22:22:24,
Era bom dava pra salvar vídeos agora se tornou similar ao whatsapp foi muito bom deu uma decaida agora,2,0,8.3.2,2021-12-14 21:30:09,
