content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent
Porque o Telegram não está funcionando pensei que fose minha net mas ele só fica conectando.,3,0,8.3.2,2021-12-15 17:53:36,
"Nota 3 , estava bem, porém já bugou tudo. Vários erros, msgs aparecem no início e depois somem, trava ao reproduzir vídeos, fotos não abrem ...",3,0,8.3.2,2021-12-15 16:03:57,
Pq não dá mais pra assistir os vídeos acima de 10mb no próprio APP? vcs estragaram o APP viu. Meus parabéns aos envolvidos,3,0,8.3.2,2021-12-15 15:12:19,
"Alguém sabe me dizer, se aqueles jogos (que dizem que vc ganha dinheiro) é vdd?? Na minha opniao é mentira. Alguém saberia me informar??",3,0,8.3.2,2021-12-15 14:28:10,
Whatsapp dá de mil a zero!,3,0,8.3.2,2021-12-15 13:36:52,
"Oi eu gostava do app dou 3 pq esta última atualização ficou horrível... não dá prá fazer Gif ou vídeo com stickers animado não envia....sem falar que está super lento pra fãzer download de qualquer coisa... outra coisa o app não baixa audio sem estar com chat aberto 🤔🙄..... antes as pessoas enviavam áudio e baixava mesmo você não estando ali nas conversa, agora não.... isso ficou muito Ruim..... consertem isso pôr favor..... depois eu volto aqui e dou 5 estrelas 👍",3,0,8.3.2,2021-12-15 12:54:40,
como que atualiza esse caralhoooooo SE EU NAO CONSEGUIR ATUALIZAR ISSO NAO VOU PODER VER MEUS BL PLMDS,3,1,8.3.2,2021-12-15 11:27:23,
Fica pedindo pra atualizar diretoooo,3,0,8.3.1,2021-12-15 10:35:14,
Eu Não recebi código,3,0,8.3.2,2021-12-15 01:48:11,
"O app é bom demais, no entanto, as ligações são horríveis: ocorrem muitos problemas e a qualidade não é a melhor.",3,0,8.3.2,2021-12-15 00:34:17,
NAO CHEGA MEU CODIGO DE CONFIRMAÇÃO NUNCA:(,3,1,,2021-12-14 23:37:42,
Bom aplicativo,3,0,8.3.2,2021-12-14 21:31:10,
"O app era ótimo, mas depois da atualização está com várias instabilidades. As mídias por exemplo carregavam super rápido agora demora uma eternidade e na maior parte do tempo apresenta erro. O único ponto positivo dessa atualização é a prevenção de plágio, de resto foi tudo bem ruim.",3,0,8.3.2,2021-12-14 18:17:37,
Boa 💪💪💪💪,3,0,8.3.2,2021-12-14 16:39:39,
Bom,3,0,,2021-12-14 14:16:24,
Usava bastante mas depois de tirei ele tento instalar de nv e nao consigo mais ter o codigo de acesso,3,1,,2021-12-14 09:35:28,
Recebo as notificações porém não consigo ler ou receber nem uma mensagem quando abro o celular.,3,0,8.0.0,2021-12-14 00:23:14,
Muito bom,3,0,7.8.2,2021-12-13 21:19:31,
"Poxa vida, depois da atualização não consigo mais ver nada...demora séculos para assistir... Não ficou nada prático Por favor arrumem esse erro..",3,0,8.3.2,2021-12-13 18:44:16,
"O aplicativo é ótimo, só que os downloads estão mto lentos e não é por conta da internet.",3,0,8.3.2,2021-12-13 14:16:10,
"Este a app é bom. Mas ficar atualizando e ruim , pois as vezes não temos memoria suficiente.",3,0,,2021-12-13 13:45:59,
Ótimo,3,0,,2021-12-13 09:21:11,
Parabéns gostei muito,3,0,8.3.2,2021-12-13 05:03:37,
Opcional,3,0,8.3.2,2021-12-12 17:05:39,
Bom mais precisa melhorar as ferramentas de uso.,3,0,8.2.7,2021-12-12 13:37:35,
Ótimo 👍,3,0,7.8.0,2021-12-12 09:08:58,
"O aplicativo estava bom,mas agora não consigo mais baixar arquivos,nada basicamente e sei que não é a minha Internet.",3,0,8.3.2,2021-12-12 02:06:49,
Eu gosto do telrgram mais ele muito dificio de mexe neste app,3,0,8.3.0,2021-12-12 02:01:54,
"dps dessa ultima atualização o app bugou completamente. eu atualizei e mesmo assim fica pedindo por atualização, não sei o q fazer",3,0,,2021-12-11 18:56:30,
"App parado pelo USUÁRIO SEMPRE deveria permanecer assim, até ser reaberto por ele, ou outro app em que haja sentido, e autorizado a fazê-lo. Após ligar BlueTooth, WiFi, abrir o PlayStore, ao baixar apps, JAMAIS! A correção recente (""atualização"") não corrigiu, pois o problema ""autoabrir"" CONTINUA! O WApp não ""autoabre""... Espaçamento nos contatos é adequada, diferente do concorrente... Ainda que o Telegram permita, é bug grave do Android, pois bloq de printscreem fere hierarquia sistema -> app.",3,3,8.3.2,2021-12-11 18:43:56,
Bbb,3,0,8.3.2,2021-12-11 18:22:19,
Bom mais precisa de algumas atualizações,3,0,,2021-12-11 18:09:21,
Daria mais estrelas se eu conseguir atualizar ele. Pq antes eu amava ele mais nao tp conseguindo conseguindo ele.,3,0,8.2.7,2021-12-11 17:29:20,
Era bom até a última atualização. Estou tentando entrar no grupo mas não consigo. Pede pra eu atualizar o aplicativo. Já fiz isso e mesmo assim continua aparecendo a mensagem para atualizar. Alguém pode ajudar?,3,3,8.3.2,2021-12-11 14:14:27,
Good,3,0,8.3.2,2021-12-11 12:33:03,
Ele ñ abrigo aplicativo,3,0,8.3.2,2021-12-11 10:25:33,
