content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
"Inteligência artificial, quase perfeita e que mesmo assim, está a cada dia mais evoluída, e sem falar da altíssima conectividade com inúmeros dispositivos, mesmo sendo de outros fabricantes, realmente um sistema bem flexível e intuitivo, pois depois de configurada, qualquer um sem qualquer conhecimento em dispositivos de eletrônica avançada, pode tranquilamente utilizá-la, inclusive pessoas idosas, pois em alguma situação de emergência, elas podem ligar para seus parentes utilizando a Alexa.",5,97,2.2.436689.0,2021-11-29 22:39:09,,
"Estou amando, foi uma das melhores coisas que comprei. O app, posso configurar tanto nela, quanto pro meu celular. No início tive dúvidas, mas logo consegui fazer o que tem que ser feito. Só existe um problema quando falta luz, apaga todos os meus lembretes. Poderia deixar no app. Tenho sempre que refazer os lembretes, até poderia comprar a base de bateria, mas o app deveria segurar tudo.",5,142,2.2.436689.0,2021-11-29 13:32:32,,
"O app é completo, concentrando quase tudo em uma única interface - desde as funções básicas da Amazon até as skill dia dispositivos conectados. Só perde uma estrela por desempenho, já que é um pouco lento e demora a responder alguns comandos.",4,0,2.2.436689.0,2021-12-07 00:42:53,,
"Muito bom app! Sem dúvida, um grande destaque em inteligência artificial. Mas, como todos os demais ainda tem coisas a melhorar. Por exemplo: deixar a voz um pouco menos artificial, colocar mais jogos, deixar ele com uma resposta mais rápida, e ter um desempenho melhor e mais otimizado para aparelhos intermediários.",4,23,2.2.436689.0,2021-11-28 05:04:24,,
"Estou decepcionado, essa atualização simplesmente não te permite mais colocar suas músicas do Spotify nas rotinas, parece que querem fazer a gente comprar o Amazon music, espero muito que seja apenas um bug e resolvam isso o mais rápido possível.",5,1,2.2.438005.0,2021-12-07 20:50:17,,
"Só instalei quando comprei um echo dot, mas se soubesse das funcionalidades, já teria a muito tempo no celular. Depois da echo, a Alexa passou a ser uma integrante familiar, até minha filha com 2 anos já interage com ela",5,1,2.2.436689.0,2021-12-05 07:44:18,,
"As reclamações sobre a distância que a Alexa escuta e atente seus pedidos não procedem , em casa falo de outro cômodo e ela atente perfeitamente, excelente, nada a reclamar , som robusto perfeito.",4,2,2.2.436689.0,2021-12-01 14:56:19,,
"Muito útil para facilitar a vida , porém nem tudo são flores alguns app não funcionam bem . Quando eu tento abrir a câmara 📷 remotamente não abre e fecha o app , hoje todos meu aparelhos foi desconectado do nada .....",4,0,2.2.436689.0,2021-12-07 20:09:15,,
Excepcional produto e toda a linha. Não conhecia até 11/21. Tempo perdido. Agora é aproveitar as facilidades. Parabéns Amazon.,5,1,2.2.436689.0,2021-11-27 09:41:05,,
"Demorou mas consegui. Deve ser um problema na peça que fica entre o app e a echo dot. Tudo perfeito, som muito bom, pronto para explorar.",5,2,2.2.436689.0,2021-11-28 00:50:46,,
"poderia ativar Alexa no Android sem ter que abrir o aplicativo, somente chamando pelo nome Alexa, ou inclusive com a tela bloqueada com autorização do usuário neste modo.",4,0,2.2.436689.0,2021-11-29 00:09:36,,
Aprendizagem incremental impressionante e muito útil no dia a dia. Foi uma ótima escolha iniciar no mundo das caixas inteligentes e das casas também inteligentes.,5,5,2.2.435306.0,2021-11-17 20:19:08,,
"o app é muito bom, mas ainda falta liberar algumas funções para nós que já são disponíveis nos EUA. tipo rotina por localização geográfica e dar vários comandos em sequência",4,1,2.2.435306.0,2021-11-21 04:08:54,,
"Acho excelente, mas ainda carece de um serviço de vídeo chamada mais integrado com os serviços já existentes. Também, o reconhecimento de voz falha de vez em quando.",5,1,2.2.435306.0,2021-11-23 01:28:45,,
o app em si é muito bom e faz coisas incríveis minha única crítica é em relação a interface que como todos os apps da Amazon são de baixa qualidade,4,1,2.2.436689.0,2021-11-29 11:58:42,,
"ótimo, pois a única coisa que eu não gostei e que para vc ligar para outra pessoa pela Alexa a outra pessoa também tem que ter o app da Alexa e tem que tar adicionado na lista de contato da app da Alexa, mais tirando isso e muito bom",4,1,2.2.436689.0,2021-11-29 15:54:27,,
"muito bom o software, quase se esquece que é uma inteligência artificial, os hardwares da Alexa, fazem a diferença.",5,0,2.2.436689.0,2021-11-27 05:06:36,,
"comprei a minha primeira echo dot hoje e já estou amando, acredito que nos ajudará muito em casa. O app tem diversas opções e é bastante organizado, vocês podem usar a alexa sem terem o echo dot também o que eu achei bem legal",5,1,2.2.436689.0,2021-11-30 16:05:59,,
Um pouco complicado de mexer. Algumas funções ficam a critério de tutoriais e isso dificulta para quem quer algo ágil e rápido.,4,0,2.2.436689.0,2021-12-03 21:18:15,,
