content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
"Antes da última atualização tudo estava funcionando perfeitamente... Na última atualização parece que o software não ""conversa"" com o gerenciador dos equipamentos (linha positivo / lâmpadas e plugs). NADA FUNCIONA. Constantemente diz que o item acionado não responde. Entro no gerenciador da positivo e tudo funciona normalmente... POR FAVOR arrumem isto...",2,11,2.2.438005.0,2021-12-07 16:28:50,,
"Infelizmente do ""nada"" parou de reconhecer as lâmpadas, não toca música do próprio Amazon MUSIC, não vincula Spotify. Sinceramente uma decepção muito grande, porque é uma empresa muito rica para manter produtos tão meia boca. Se o problema é atualização, deveria vir um aviso aos usuários e um prazo de resolução. O mínimo por um produto pago e muito bem pago.",1,10,2.2.438005.0,2021-12-07 17:17:07,,
"Infelizmente não está funcionando corretamente pois os dispositivos Echo informam que não há conectividade com a TV, porém aumenta e diminui o volume mas não consegue mudar de canal. Reiniciei o roteador, a TV, os Echo's e nada. Exclui a TV do app e inseri novamente e não funciona. Não há atualização de skill. Só o volume continua funcionando as outras funções não. O retorno é sempre para energia e conectividade! Assim não dá né!?!? TV LG com Alexa integrada.",1,148,2.2.436689.0,2021-12-02 08:32:59,,
"A proposta é maravilhosa, para quem não tem como ler, esse APP seria perfeito, se não alterasse o ponto de leitura sozinho, ele volta o capítulo que você já leu e fica num lopping até que você reinicie tudo, já tive até que desinstalar e reinstalar para voltar a funcionar. Por favor desenvolvedores tentem resolver porque o APP é muito bom execto por esse problema.",1,0,2.2.436689.0,2021-12-06 07:06:26,,
"O aplicativo fecha do nada, quando estou usando a função leitura o app volta a posição aleatoriamente, ao invés de ir para o próximo capítulo volta para o que acabou de ser lido, informava que uma ação não podia ser a primeira da minha rotina, OI???? é a minha rotina eu que decido o que é importante para mim",1,7,2.2.436689.0,2021-12-03 12:06:37,,
Lixo. A última atualização fez parar tudo. App parou de funcionar . Está travado. Tenho 3 echodot e mais uma ecoshow que podem ser jogadas no lixo agora. Onde já se viu fazer um upgrade que não funciona mais nada. Que lixo. Nunca comprem amazon comprem Google.,1,1,2.2.436689.0,2021-12-07 19:20:36,,
"Sempre que logo com minha conta Amazon diz que a senha está errada, mesmo eu sabendo que não está errada, eu troco e tento logar dnv, porém ainda assim diz que está errada, fora que as vezes nessas tentativas de login, o App fecha sozinho... ou é uma tela preta demorada, arrumem isso, por favor.",2,1,2.2.438005.0,2021-12-07 13:10:34,,
"Está com problemas de sincronização com todos os meus dispositivos, tenho uma LG de 55"" e uma Samsung 42"" nenhuma vincula, sem contar serviços como Spotify, não sei se houve atualização do app, mas refaçam isso pelo amor de Deus.",1,1,2.2.436689.0,2021-12-07 18:53:43,,
"Depois da última atualização ficou muito instável, hoje do nada deixou de funcionar, a Alexa nao esta atendendo os comandos nao esta acendendo as lâmpadas, nem tocando música pelo Amazon music, espero que arrumem isso, sinceramente me arrependo de tee comprado outra ecodot porque não esta funcionando corretamente o aplicativo e a própria Alexa nao esta funcionando corretamente nos speaker, devia tee comprado do Google para testar assim não ficaria na mão.",1,0,2.2.436689.0,2021-12-07 19:06:40,,
Comprei Echo nas faz nem 5 dias e só funciona por 4 dias e agora mais funcionando. Não está funcionando e não consigo configurar o dispositivo dando erro para detectar e quando identifica esta dando erro na configuração da wifi. Já reinstalar e limpei o cache umas 5 vezes e mesmo o suporte conseguiu resolver.,1,5,2.2.436689.0,2021-12-03 23:03:47,,
"O aplicativo é horrível. Quase sempre quando você clica em algo para mudar de tela nada acontece e segundos depois a tela muda, parece que o app esta travando o tempo todo. Diversos menus quase sempre bugam e param de mostrar os itens. É surpreendente como uma empresa gigante assim não tem um aplicativo decente. Esse app é um dos motivos pra eu estar quase me desfazendo da Alexa.",1,74,2.2.435306.0,2021-11-21 21:34:48,,
"Péssimo aplicativo. Fica muito tempo sem sair do lugar, não conecta nem avisa que travou, não dá grandes orientações e, definitivamente, não está permitindo configurar o Echo Dot. Tremendamente irritante.",1,17,2.2.436689.0,2021-11-26 18:40:48,,
"Para quem tem dispositivo inteligente e parou de funcionar, tenta conectar com um IOS. O problema é o aplicativo. Tive que desinstalar tudo pra depois descobrir que é o aplicativo da Alexa que está ruim.",1,0,2.2.436689.0,2021-12-07 20:12:57,,
"Atualizou porém ainda continua com problemas na hora de reproduzir. Quando peço uma música, minha echo informa que ""não é possível reproduzir tente mais tarde"". Agora nessa última atualização já consegui parear a lâmpada inteligente e está funcionando.",1,0,2.2.438005.0,2021-12-08 20:45:11,,
